"","home","home_scores","home_total_shots","home_shots_on_target","home_total_passes","home_long_passes","home_total_dribbles","home_successful_dribbles","home_total_tackles","home_successful_tackles","home_total_interceptions","home_total_clearances","home_total_blocks","home_total_offsides","home_total_fouls","home_total_aerial_duels","home_total_touches","home_total_loss_of_possession","home_turnover","home_total_errors","home_total_saves","home_total_claims","home_total_punches","away","away_scores","away_total_shots","away_shots_on_target","away_total_passes","away_long_passes","away_total_dribbles","away_successful_dribbles","away_total_tackles","away_successful_tackles","away_total_interceptions","away_total_clearances","away_total_blocks","away_total_offsides","away_total_fouls","away_total_aerial_duels","away_total_touches","away_total_loss_of_possession","away_turnover","away_total_errors","away_total_saves","away_total_claims","away_total_punches","result"
"28","Liverpool",1,11,5,389,65,18,11,38,31,18,33,17,1,15,13,589,23,13,2,4,0,1,"Manchester United",0,10,4,490,79,22,7,28,17,20,32,9,0,15,21,715,35,16,1,4,0,0,"1"
"29","West Bromwich Albion",0,10,1,465,46,27,16,23,14,16,34,5,3,10,15,625,15,7,0,2,1,1,"Swansea",2,12,4,645,76,13,9,34,18,18,38,3,3,14,13,822,23,12,1,1,2,0,"-1"
"30","Arsenal",1,12,5,405,46,16,9,43,29,19,41,6,1,15,19,582,15,8,0,4,3,0,"Tottenham",0,14,5,518,64,25,14,23,14,12,26,5,0,14,15,690,30,10,1,4,0,1,"1"
"31","Man Utd",2,20,8,561,64,23,9,16,13,24,22,7,5,10,15,743,20,7,0,0,0,0,"Crystal Palace",0,4,0,392,62,8,3,33,24,24,33,19,0,12,19,546,20,11,1,6,3,1,"1"
"32","Stoke",0,11,3,370,51,18,9,30,23,10,15,11,1,13,34,522,29,15,1,3,5,0,"Man City",0,10,3,517,58,15,7,30,21,13,35,10,0,11,13,686,30,14,0,4,0,0,"0"
"33","Sunderland",1,18,3,279,33,9,2,31,25,11,22,20,4,13,17,437,18,9,0,3,3,0,"Arsenal",3,14,6,669,54,19,6,18,16,8,18,16,0,11,19,820,24,9,0,2,0,1,"-1"
"34","Tottenham",2,23,7,654,67,30,16,20,15,14,23,9,1,4,24,841,30,14,0,1,1,2,"Norwich",0,5,1,300,48,9,5,45,29,19,26,23,4,12,13,452,15,3,2,5,1,0,"1"
"35","Aston Villa",1,10,1,478,73,22,11,38,24,15,20,11,1,10,26,631,13,7,0,6,0,0,"Newcastle United",2,17,8,400,43,25,14,26,15,17,32,14,3,12,22,569,23,8,1,0,1,0,"-1"
"36","Fulham",1,12,2,530,61,12,7,18,14,8,29,18,3,11,14,682,20,9,0,3,0,0,"West Bromwich Albion",1,12,4,399,59,10,4,22,15,9,38,11,4,12,18,553,21,11,0,1,1,0,"0"
"37","Hull",1,18,5,434,66,9,5,19,13,18,34,11,2,7,19,591,12,6,0,1,0,2,"Cardiff",1,10,2,516,77,9,6,15,10,17,39,10,1,9,24,687,27,15,0,4,0,4,"0"
"38","Everton",1,11,5,389,61,26,18,32,23,17,35,13,2,10,17,582,18,7,2,5,3,0,"Chelsea",0,22,6,498,51,23,9,37,19,11,11,14,0,14,18,663,22,9,0,4,0,0,"1"
"39","Southampton",0,15,5,423,42,9,5,35,26,16,44,10,0,12,23,630,29,11,0,1,1,0,"West Ham",0,6,1,295,66,21,9,24,19,14,31,18,2,12,17,474,30,12,1,5,2,2,"0"
"40","Swansea",2,18,9,633,64,18,8,25,18,21,35,4,1,8,22,836,14,8,2,3,0,0,"Liverpool",2,12,5,442,60,14,7,24,16,3,43,15,2,10,14,637,24,12,0,6,2,3,"0"
"41","Norwich",0,13,2,476,70,7,5,20,14,18,10,10,2,15,21,650,40,17,0,3,0,0,"Aston Villa",1,16,4,276,60,15,6,30,25,9,45,17,2,12,22,459,20,15,0,2,9,0,"-1"
"42","West Bromwich Albion",3,13,4,483,55,15,8,17,14,10,41,13,4,9,11,665,26,8,0,0,4,0,"Sunderland",0,7,0,406,64,7,3,31,23,9,23,16,0,12,15,542,18,6,0,1,0,2,"1"
"43","West Ham",2,10,2,326,65,20,8,35,26,15,29,11,0,17,22,479,17,11,0,2,1,0,"Everton",3,10,4,535,64,24,9,25,17,8,41,11,2,12,20,721,21,7,0,0,1,0,"-1"
"44","Newcastle United",2,15,2,557,64,26,10,22,17,11,23,13,0,11,21,727,26,13,1,2,0,1,"Hull",3,12,5,351,62,13,5,38,28,20,37,14,5,8,16,538,30,17,0,0,2,1,"-1"
"45","Liverpool",0,10,5,477,72,44,24,28,20,17,27,9,3,6,18,707,28,10,1,7,0,0,"Southampton",1,12,7,382,58,15,8,62,38,11,29,10,5,9,14,598,26,13,0,5,4,0,"-1"
"46","Chelsea",2,24,9,610,61,14,6,30,27,2,16,12,1,11,15,757,12,4,0,1,0,1,"Fulham",0,4,1,343,41,13,3,22,16,20,36,20,1,9,13,522,27,8,1,7,1,2,"1"
"47","Crystal Palace",0,9,1,419,54,21,9,28,20,11,20,21,1,13,22,572,17,11,0,5,1,2,"Swansea",2,15,7,558,71,19,8,25,16,20,49,15,4,11,15,754,27,15,0,1,1,0,"-1"
"48","Arsenal",3,17,9,532,45,25,9,29,23,12,13,10,1,8,18,683,17,10,0,2,2,0,"Stoke",1,10,3,511,59,12,6,29,20,4,9,10,1,14,16,641,26,9,0,5,2,0,"1"
"49","Cardiff",0,6,0,296,57,10,5,34,24,16,51,14,6,7,21,481,16,4,0,11,2,1,"Tottenham",1,29,12,520,74,21,10,20,15,9,16,9,1,8,22,681,22,7,0,0,1,0,"-1"
"50","Man City",4,18,5,342,44,6,3,32,22,13,28,16,1,8,11,488,18,7,0,2,2,1,"Man Utd",1,14,3,486,51,23,10,17,14,12,38,23,4,12,13,663,19,9,1,1,0,2,"1"
"51","Tottenham",1,12,3,416,68,30,23,17,14,16,28,12,2,16,7,589,25,10,0,4,1,2,"Chelsea",1,11,5,351,51,11,3,44,21,12,24,11,10,14,24,507,17,11,0,2,2,0,"0"
"52","Aston Villa",3,8,4,291,63,17,7,32,18,11,29,18,0,13,19,422,12,7,1,5,5,1,"Manchester City",2,21,7,557,51,21,14,21,14,6,19,3,5,9,21,718,23,9,1,1,0,0,"1"
"53","Fulham",1,9,5,406,77,7,5,17,10,7,32,20,1,14,27,566,23,9,1,2,3,2,"Cardiff",2,22,5,438,58,12,7,21,16,8,35,15,0,14,23,608,19,11,0,4,2,0,"-1"
"54","Hull",1,11,4,323,63,4,2,25,18,6,44,20,2,11,19,489,26,10,0,5,0,2,"West Ham",0,18,6,456,55,19,7,18,16,10,29,11,0,13,11,635,20,10,0,2,0,0,"1"
"55","Manchester United",1,14,6,537,61,19,16,33,21,15,32,7,4,10,14,719,26,13,0,2,1,0,"West Bromwich Albion",2,12,4,374,68,22,12,29,13,6,35,19,1,14,22,537,24,10,0,5,1,2,"-1"
"56","Southampton",2,12,4,545,58,11,6,22,15,14,35,26,1,11,15,715,31,14,0,0,1,0,"Crystal Palace",0,8,0,344,57,16,7,28,22,12,25,11,2,15,28,506,26,18,0,1,2,0,"1"
"57","Swansea",1,10,3,631,56,12,7,24,16,16,7,15,3,6,12,776,28,14,0,2,2,1,"Arsenal",2,10,4,449,47,19,8,25,18,20,16,13,4,11,27,595,15,9,1,2,6,0,"-1"
"58","Stoke",0,8,1,469,66,21,7,31,22,12,29,12,4,14,38,639,31,9,1,2,0,1,"Norwich",1,8,3,374,69,17,9,42,35,8,31,14,2,12,27,559,31,16,1,1,3,0,"-1"
"59","Sunderland",1,23,5,356,54,15,5,31,23,6,26,13,4,9,14,571,18,6,0,4,0,0,"Liverpool",3,15,6,431,57,24,8,24,19,9,54,20,1,11,15,664,21,12,2,4,1,3,"-1"
"60","Everton",3,19,8,519,62,28,22,29,20,11,25,6,3,7,15,689,24,9,0,4,4,0,"Newcastle United",2,15,6,517,59,18,9,43,21,20,18,14,4,16,16,677,24,12,2,5,0,0,"1"
"61","Manchester City",3,12,6,497,57,23,9,36,20,10,14,9,3,15,12,650,23,13,1,3,1,0,"Everton",1,7,4,428,47,28,16,31,22,13,31,10,4,10,10,596,19,9,0,4,2,0,"1"
"62","Cardiff",1,8,2,484,59,16,11,28,20,11,22,14,1,11,14,673,32,18,2,8,1,0,"Newcastle United",2,20,10,374,66,20,8,30,19,23,39,15,1,8,27,558,21,12,0,1,2,0,"-1"
"63","Fulham",1,9,2,405,67,17,13,26,18,16,35,18,6,11,17,585,26,13,0,1,1,0,"Stoke",0,16,3,504,48,16,8,29,16,18,14,13,5,13,28,674,19,6,1,1,2,1,"1"
"64","Hull",0,6,1,363,59,5,2,26,13,6,28,15,1,7,24,503,28,10,0,4,0,0,"Aston Villa",0,18,4,467,89,20,13,21,19,7,49,8,2,11,15,643,15,8,0,1,5,1,"0"
"65","Liverpool",3,13,7,623,65,29,17,26,20,13,33,13,5,11,12,847,35,17,1,1,0,0,"Crystal Palace",1,11,2,398,61,15,6,46,29,26,32,14,1,6,10,612,20,7,0,4,2,0,"1"
"66","Sunderland",1,6,2,345,84,14,11,38,22,11,27,21,1,15,13,508,27,10,0,4,5,1,"Man Utd",2,13,6,576,65,26,16,31,20,15,52,13,3,13,19,784,22,9,1,1,0,1,"-1"
"67","Norwich",1,14,3,415,50,14,7,24,14,14,23,9,1,12,7,566,20,10,3,4,0,1,"Chelsea",3,22,8,519,70,18,10,23,16,9,22,10,2,9,18,673,21,14,0,3,2,0,"-1"
"68","Southampton",2,12,4,375,57,12,4,32,23,15,23,13,5,13,15,542,22,14,0,7,3,1,"Swansea",0,17,7,504,77,24,9,18,14,18,18,13,1,8,13,677,20,12,2,2,0,0,"1"
"69","Tottenham",0,14,4,513,72,23,14,27,19,13,16,7,3,5,13,684,27,7,0,2,1,1,"West Ham",3,16,5,332,70,24,8,41,27,16,25,16,3,9,13,504,21,12,0,4,1,0,"-1"
"70","West Brom",1,12,4,419,52,24,15,23,15,18,23,13,4,6,14,601,21,6,0,4,2,1,"Arsenal",1,14,5,554,56,13,8,37,22,11,29,10,2,11,17,707,18,8,0,3,1,1,"0"
"71","Newcastle United",2,14,4,343,57,14,0,34,21,16,38,16,0,8,15,536,14,6,0,5,0,1,"Liverpool",2,23,7,563,44,28,13,17,17,10,31,8,2,10,19,777,19,12,1,2,0,0,"0"
"72","Stoke",0,9,3,413,59,13,6,31,20,23,25,14,2,12,21,575,19,10,1,5,3,1,"West Brom",0,12,5,412,41,21,10,20,14,22,30,12,2,10,19,599,31,16,0,3,2,0,"0"
"73","Swansea",4,14,6,632,39,17,4,17,10,14,12,7,2,12,9,764,16,7,0,1,0,1,"Sunderland",0,8,1,362,55,14,7,24,20,18,15,11,5,13,9,488,9,4,0,4,0,2,"1"
"74","Arsenal",4,20,11,643,59,13,8,28,21,15,12,15,1,8,8,828,19,10,0,5,0,2,"Norwich",1,12,6,512,57,14,7,21,13,14,28,13,2,7,17,695,30,14,1,7,2,0,"1"
"75","Chelsea",4,20,7,562,60,18,9,21,14,5,34,10,3,12,14,732,16,8,1,2,2,2,"Cardiff",1,13,3,291,50,12,7,23,14,9,31,14,1,5,10,443,20,9,3,3,0,0,"1"
"76","Everton",2,13,6,637,69,25,14,22,16,7,27,9,1,7,15,798,19,6,0,0,3,1,"Hull",1,10,1,303,49,8,7,38,23,11,17,12,1,17,20,435,27,11,0,4,1,0,"1"
"77","Man Utd",1,12,5,401,70,19,6,23,18,22,48,11,8,10,10,607,34,15,1,6,1,0,"Southampton",1,18,7,460,66,13,5,33,27,8,22,11,2,19,14,622,28,14,0,4,0,1,"0"
"78","West Ham",1,11,2,356,64,18,8,25,18,20,19,7,1,7,10,514,22,9,0,6,0,0,"Manchester City",3,16,9,615,48,16,7,30,22,14,37,10,1,12,24,784,22,12,1,1,1,1,"-1"
"79","Aston Villa",0,15,2,319,53,17,9,28,17,20,29,14,2,13,17,489,27,15,1,4,1,0,"Tottenham",2,13,6,546,88,23,11,27,18,13,22,15,1,12,15,711,24,14,1,2,1,1,"-1"
"80","Crystal Palace",1,14,4,376,61,23,7,25,22,13,11,14,2,10,27,581,21,7,1,2,0,0,"Fulham",4,9,6,467,80,8,3,34,27,11,31,12,1,13,15,664,32,12,0,3,1,0,"-1"
"81","Crystal Palace",0,13,4,395,60,22,6,36,25,27,24,12,2,12,20,566,20,6,1,2,0,0,"Arsenal",2,10,4,673,67,27,11,32,26,12,21,10,2,8,13,854,22,9,0,4,2,2,"-1"
"82","Liverpool",4,18,7,525,61,28,15,31,21,15,26,19,1,14,12,737,18,10,1,1,2,1,"West Brom",1,15,3,429,59,17,10,33,18,19,18,10,0,11,18,608,23,8,0,3,0,0,"1"
"83","Manchester United",3,19,5,569,57,23,12,18,11,16,22,11,2,8,7,750,23,15,2,3,1,0,"Stoke",2,10,5,292,49,10,7,30,18,18,39,23,0,18,19,443,16,7,0,2,2,1,"1"
"84","Norwich",0,31,10,522,58,22,13,15,9,10,16,10,2,8,26,708,19,10,0,4,4,0,"Cardiff",0,6,4,354,59,10,6,30,17,14,56,25,3,10,23,537,15,9,0,10,2,0,"0"
"85","Aston Villa",0,14,3,392,61,27,9,21,15,11,17,19,2,14,15,559,27,15,0,2,4,0,"Everton",2,15,4,456,71,14,6,35,26,14,39,18,3,8,18,637,20,12,0,3,2,0,"-1"
"86","Southampton",2,20,6,635,54,19,15,39,28,11,21,8,4,12,20,813,21,9,0,0,2,0,"Fulham",0,1,0,329,56,28,11,31,16,16,30,23,3,8,18,487,27,15,2,3,0,0,"1"
"87","Sunderland",2,8,4,355,66,11,5,24,16,13,42,8,4,13,24,514,14,9,0,4,1,0,"Newcastle United",1,16,4,387,52,15,8,13,8,12,34,18,2,14,30,538,29,19,0,2,0,0,"1"
"88","Tottenham",1,15,6,551,59,26,13,23,19,12,28,9,1,13,16,733,33,15,1,4,0,1,"Hull",0,10,4,276,55,9,4,40,27,13,23,16,1,10,10,427,24,9,0,5,0,0,"1"
"89","Swansea",0,10,5,591,56,18,8,20,17,12,32,12,2,12,9,765,24,21,0,3,1,3,"West Ham",0,15,4,287,59,11,3,20,12,18,33,16,2,14,17,448,25,13,0,4,1,0,"0"
"90","Chelsea",2,12,4,407,51,35,16,35,26,12,31,11,4,11,11,593,19,12,0,5,1,1,"Man City",1,15,6,493,51,16,9,38,22,11,20,6,2,15,15,648,26,7,2,2,1,0,"1"
"91","Newcastle United",2,15,8,355,40,16,7,19,10,19,48,15,3,13,16,532,27,16,0,1,2,0,"Chelsea",0,13,2,544,69,15,9,25,18,8,32,12,4,11,24,711,17,12,0,6,0,0,"1"
"92","Stoke",1,9,3,336,56,18,10,34,23,13,23,21,0,13,15,548,29,21,0,1,0,0,"Southampton",1,10,2,520,54,22,11,24,14,15,28,14,2,13,15,747,32,17,2,2,0,0,"0"
"93","West Bromwich Albion",2,9,4,424,72,16,8,26,17,17,24,12,2,11,25,600,30,15,0,4,2,2,"Crystal Palace",0,12,4,443,67,20,9,31,23,15,37,16,0,9,26,620,24,14,0,1,1,2,"1"
"94","West Ham",0,17,4,541,83,23,10,10,6,16,30,7,0,8,15,719,28,13,0,2,1,0,"Aston Villa",0,8,2,389,76,8,4,34,24,13,45,13,1,15,21,536,10,7,0,4,4,2,"0"
"95","Fulham",1,15,6,459,59,14,8,40,25,15,24,15,2,6,12,631,32,10,1,1,1,1,"Manchester United",3,10,4,527,67,29,15,33,25,16,40,10,1,12,10,719,22,9,0,5,1,1,"-1"
"96","Hull",1,25,2,581,66,13,5,11,11,6,9,7,3,17,16,730,17,5,0,1,1,0,"Sunderland",0,10,1,263,71,2,0,23,18,7,42,20,0,11,21,399,21,11,0,2,4,0,"1"
"97","Manchester City",7,27,9,773,57,24,16,21,12,15,16,6,1,6,16,928,16,8,0,1,0,1,"Norwich",0,9,1,363,51,21,9,30,14,18,17,26,0,9,5,497,15,8,2,3,0,0,"1"
"98","Arsenal",2,12,7,623,46,32,15,45,34,11,17,11,1,11,14,837,21,10,1,4,3,1,"Liverpool",0,12,4,513,41,30,11,42,27,18,28,17,4,7,13,746,25,9,2,5,1,1,"1"
"99","Everton",0,8,1,421,51,27,9,27,17,13,26,23,2,11,18,589,10,9,1,6,0,1,"Tottenham",0,16,6,390,65,20,10,26,17,21,27,17,0,9,11,556,22,10,0,1,2,1,"0"
"100","Cardiff",1,9,3,437,67,12,6,23,18,14,26,11,3,11,18,577,21,10,0,3,2,0,"Swansea",0,10,3,527,63,13,5,21,15,13,19,17,5,7,25,671,17,5,1,2,1,1,"1"
"101","Southampton",4,15,7,567,74,27,13,15,12,23,38,12,3,10,24,734,17,6,2,1,0,0,"Hull",1,10,2,365,65,8,3,35,22,17,15,11,6,15,14,497,20,11,0,2,0,0,"1"
"102","Aston Villa",2,17,6,348,76,15,8,25,22,10,24,15,5,10,26,500,20,11,1,2,1,1,"Cardiff",0,8,2,468,64,10,3,23,15,11,37,14,7,3,26,640,30,13,1,4,3,0,"1"
"103","Chelsea",2,17,7,637,87,17,5,29,22,12,18,8,3,11,19,809,20,9,1,1,0,0,"West Bromwich Albion",2,11,3,302,48,12,7,26,21,15,47,20,0,15,22,483,21,4,1,5,1,1,"0"
"104","Crystal Palace",0,9,2,237,61,14,4,32,21,24,29,23,4,16,18,394,18,10,0,2,0,0,"Everton",0,15,2,628,80,21,11,19,15,10,24,10,1,8,17,804,19,8,0,2,0,2,"0"
"105","Liverpool",4,32,10,726,60,31,14,32,25,13,18,6,4,13,10,934,13,6,0,1,0,0,"Fulham",0,5,1,350,53,11,7,34,20,24,27,23,2,9,6,567,36,14,1,7,2,0,"1"
"106","Norwich",3,15,6,412,57,8,4,26,20,8,34,9,0,12,16,562,21,9,1,3,1,0,"West Ham",1,12,4,466,74,15,6,20,16,10,33,13,6,11,16,615,17,6,2,3,1,0,"1"
"107","Tottenham",0,31,14,475,71,22,10,30,20,18,31,4,2,5,14,691,31,12,1,3,0,2,"Newcastle United",1,8,4,268,42,24,10,39,29,14,47,21,8,15,12,485,26,14,0,14,2,2,"-1"
"108","Sunderland",1,5,2,395,66,7,3,24,18,18,37,24,0,6,14,546,17,9,0,4,4,0,"Manchester City",0,24,4,646,48,17,6,14,11,13,11,6,2,13,12,808,17,8,1,1,0,0,"1"
"109","Swansea",3,17,6,539,44,28,12,20,18,19,8,4,3,12,17,719,27,14,0,0,0,0,"Stoke",3,6,3,301,45,6,2,39,27,19,35,15,0,15,26,465,28,13,1,3,1,0,"0"
"110","Man Utd",1,5,2,362,59,21,11,34,29,18,49,17,2,12,26,565,26,7,0,2,2,2,"Arsenal",0,10,2,544,63,22,5,40,29,14,37,18,2,11,20,734,24,11,0,1,3,0,"1"
"111","Everton",3,18,12,394,60,27,17,35,24,15,31,15,1,16,14,639,30,10,0,2,1,0,"Liverpool",3,11,5,384,42,18,11,46,29,21,39,7,4,15,17,613,25,8,2,9,1,0,"0"
"112","Fulham",1,10,3,372,57,17,9,22,15,16,39,21,2,11,29,545,17,6,1,4,2,2,"Swansea",2,21,5,649,88,13,7,28,19,13,21,9,0,9,21,818,19,10,1,2,1,0,"-1"
"113","Hull",0,15,2,515,72,17,8,24,18,8,17,7,2,8,22,676,17,11,0,1,0,0,"Crystal Palace",1,9,2,326,72,19,6,21,13,26,69,24,2,11,30,537,26,15,0,2,4,0,"-1"
"114","Arsenal",2,9,4,480,61,31,6,31,21,16,35,17,11,10,30,679,20,8,1,4,1,2,"Southampton",0,10,4,499,67,18,10,40,34,12,26,9,7,14,4,678,26,13,1,2,0,0,"1"
"115","Newcastle United",2,21,5,469,60,22,12,22,17,19,36,16,2,8,17,637,20,10,0,1,0,0,"Norwich",1,10,2,486,72,11,5,30,18,4,22,9,1,7,19,617,21,8,1,3,2,0,"1"
"116","Stoke",2,17,5,465,62,8,6,23,15,11,19,11,2,11,22,607,14,10,0,3,2,1,"Sunderland",0,11,3,469,57,15,8,12,6,7,24,9,2,5,12,614,25,17,1,3,1,0,"1"
"117","West Ham",0,8,1,393,57,23,12,23,18,10,41,14,3,12,14,579,25,13,2,4,1,0,"Chelsea",3,20,8,499,55,14,5,33,21,8,39,17,2,10,17,656,16,7,0,1,1,0,"-1"
"118","Man City",6,15,10,457,49,27,14,38,26,18,32,17,1,7,10,661,24,14,1,5,0,1,"Tottenham",0,14,5,510,47,19,12,37,23,13,12,10,5,11,10,685,24,4,2,4,0,0,"1"
"119","Cardiff",2,14,4,392,75,14,8,23,20,8,25,11,0,15,19,563,33,16,0,3,2,0,"Man Utd",2,16,5,400,60,21,3,30,22,11,46,8,3,14,24,591,22,14,1,2,1,1,"0"
"120","West Bromwich Albion",2,11,4,447,73,22,11,11,10,9,56,14,6,9,32,626,22,12,0,5,0,0,"Aston Villa",2,15,7,427,83,7,1,31,20,12,33,10,5,14,23,578,19,11,1,2,4,1,"0"
"121","Aston Villa",0,13,4,438,60,14,7,17,10,10,16,14,2,14,17,578,27,19,0,1,0,0,"Sunderland",0,7,1,430,85,11,7,22,15,9,23,12,5,12,21,572,18,12,0,4,2,0,"0"
"122","Cardiff",0,10,4,431,75,17,10,23,11,15,18,16,2,6,13,564,20,8,0,2,1,0,"Arsenal",3,15,6,566,54,22,12,27,17,16,38,14,1,8,18,738,20,15,0,4,1,1,"-1"
"123","Everton",4,22,12,485,55,23,12,26,18,18,25,9,3,9,8,671,26,5,0,3,1,0,"Stoke",0,4,3,416,55,16,8,42,30,20,25,8,4,16,28,596,24,14,0,8,1,1,"1"
